"ASMB","Assembly Biosciences, Inc.","12.19","$209.98M","n/a","Health Care","Major Pharmaceuticals",
"ASFI","Asta Funding, Inc.","9.9","$117.57M","1995","Finance","Finance Companies",
"ASTE","Astec Industries, Inc.","68.54","$1.58B","1986","Capital Goods","Construction/Ag Equipment/Trucks",
"ATRO","Astronics Corporation","34","$1.14B","n/a","Capital Goods","Military/Government/Technical",
"ALOT","AstroNova, Inc.","13.4","$100.14M","1983","Technology","Computer peripheral equipment",
"ASTC","Astrotech Corporation","1.45","$30.71M","n/a","Capital Goods","Military/Government/Technical",
"ASUR","Asure Software Inc","9","$74.21M","n/a","Technology","EDP Services",
"ATAI","ATA Inc.","3.94","$90.33M","2008","Consumer Services","Other Consumer Services",
"ATRA","Atara Biotherapeutics, Inc.","15.075","$435.07M","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)",
"ATHN","athenahealth, Inc.","108.55","$4.28B","2007","Miscellaneous","Business Services",
"ATHX","Athersys, Inc.","1.54","$131.67M","n/a","Health Care","Major Pharmaceuticals",
"AAPC","Atlantic Alliance Partnership Corp.","9.62","$35.47M","2015","Consumer Services","Services-Misc. Amusement & Recreation",
"AAME","Atlantic American Corporation","4.1","$83.7M","n/a","Finance","Life Insurance",
"ACBI","Atlantic Capital Bancshares, Inc.","18.9","$472.88M","n/a","Finance","Major Banks",
"ACFC","Atlantic Coast Financial Corporation","6.79","$105.31M","n/a","Finance","Savings Institutions",
"ABY","Atlantica Yield plc","19.47","$1.95B","2014","Public Utilities","Electric Utilities: Central",
"ATLC","Atlanticus Holdings Corporation","2.86","$43.96M","1995","Finance","Finance: Consumer Services",
"AAWW","Atlas Air Worldwide Holdings","51.55","$1.29B","n/a","Transportation","Transportation Services",
"AFH","Atlas Financial Holdings, Inc.","17.8","$214.01M","2013","Finance","Property-Casualty Insurers",
"TEAM","Atlassian Corporation Plc","24.6","$5.41B","2015","Technology","Computer Software: Prepackaged Software",
"ATNI","ATN International, Inc.","83.79","$1.35B","n/a","Public Utilities","Telecommunications Equipment",
"ATOM","Atomera Incorporated","6.58","$79.12M","2016","Technology","Semiconductors",
"ATOS","Atossa Genetics Inc.","1.42","$5.38M","2012","Health Care","Medical/Dental Instruments",
"ATRC","AtriCure, Inc.","19.2","$638.21M","2005","Health Care","Medical/Dental Instruments",
"ATRI","Atrion Corporation","502.4","$916.52M","n/a","Health Care","Medical/Dental Instruments",
"ATTU","Attunity Ltd.","5.67","$95.28M","n/a","Technology","Computer Software: Prepackaged Software",
"LIFE","aTyr Pharma, Inc.","2.35","$55.74M","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)",
"AUBN","Auburn National Bancorporation, Inc.","31.24","$113.82M","n/a","Finance","Major Banks",
"BOLD","Audentes Therapeutics, Inc.","17.85","$387.79M","2016","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)",
"AUDC","AudioCodes Ltd.","6.59","$218.11M","1999","Public Utilities","Telecommunications Equipment",
"AUPH","Aurinia Pharmaceuticals Inc","2.15","$113.22M","n/a","Health Care","Major Pharmaceuticals",
"EARS","Auris Medical Holding AG","1.15","$39.48M","2014","Health Care","Major Pharmaceuticals",
"ABTL","Autobytel Inc.","13.75","$150.73M","1999","Technology","Computer Software: Programming, Data Processing",
"ADSK","Autodesk, Inc.","76.18","$16.95B","n/a","Technology","Computer Software: Prepackaged Software",
"ADP","Automatic Data Processing, Inc.","103.5","$46.7B","n/a","Technology","EDP Services",
"AVDL","Avadel Pharmaceuticals plc","10.95","n/a","n/a","n/a","n/a",
"AVEO","AVEO Pharmaceuticals, Inc.","0.6033","$45.77M","2010","Health Care","Major Pharmaceuticals",
"AVXS","AveXis, Inc.","47.26","$1.31B","2016","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)",
"AVNW","Aviat Networks, Inc.","13.7","$72.08M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment",
